Datum;Beschreibung;Waehrung;Aenderung;
03/10/2016;Dividend (Product: SPDR S+P EO DIV.ARIST.ETF);EUR;8,04;
08/07/2016;Dividend (Product: DT.TECH.BET.AG O.N);EUR;4,40;
08/07/2016;Dividend Tax (Product: DT.TECH.BET.AG O.N);EUR;-0,73;
22/06/2016;Dividend (Product: DT.TELEKOM AG NA);EUR;-5,50;
22/06/2016;Dividend Tax (Product: DT.TELEKOM AG NA);EUR;1,12;
21/06/2016;Dividend (Product: DT.TELEKOM AG NA);EUR;5,50;
21/06/2016;Dividend (Product: DT.TELEKOM AG NA);EUR;5,50;
21/06/2016;Dividend Tax (Product: DT.TELEKOM AG NA);EUR;-1,12;
04/04/2016;Dividend (Product: SPDR S+P EO DIV.ARIST.ETF);EUR;0,69;
15/01/2016;Dividend (Product: IS.S.GL.SE.D.100 U.ETF A);EUR;2,91;
18/12/2015;Dividend (Product: MOBOTIX AG O.N);EUR;5,00;
18/12/2015;Dividend Tax (Product: MOBOTIX AG O.N);EUR;-1,32;
18/12/2015;Dividend Tax (Product: ROYAL DUTCH SHELLA);EUR;-0,73;
18/12/2015;Dividend Tax (Product: ROYAL DUTCH SHELLA);EUR;0,77;
18/12/2015;Dividend (Product: ROYAL DUTCH SHELLA);EUR;5,16;
18/12/2015;Dividend Tax (Product: ROYAL DUTCH SHELLA);EUR;-0,77;
15/10/2015;Dividend (Product: IS.S.GL.SE.D.100 U.ETF A);EUR;2,52;
05/10/2015;Dividend (Product: SPDR S+P EO DIV.ARIST.ETF);EUR;5,57;
