Datum,Uhrzeit,Produkt,ISIN,Beschreibung,FX,Änderung,,Saldo,
13-06-2017,09:13,GOLD SL 1303.00  HB 16.21  FN 1343.72...,NL0011859624,Transaktionsgebühr,,EUR,"-4,00",EUR,"-2553,57"
13-06-2017,09:13,GOLD SL 1303.00  HB 16.21  FN 1343.72...,NL0011859624,Transaktionsgebühr,,EUR,"-0,04",EUR,"-2549,57"
13-06-2017,09:13,GOLD SL 1303.00  HB 16.21  FN 1343.72...,NL0011859624,"Kauf 15 zu je 7,13",,EUR,"-106,95",EUR,"-2549,53"
12-06-2017,16:04,UNILEVER DR,NL0000009355,Transaktionsgebühr,,EUR,"-4,00",EUR,"-2442,58"
12-06-2017,16:04,UNILEVER DR,NL0000009355,Transaktionsgebühr,,EUR,"-0,04",EUR,"-2438,58"
12-06-2017,16:04,UNILEVER DR,NL0000009355,"Verkauf 2 zu je 49,5",,EUR,"99,00",EUR,"-2438,54"
12-06-2017,15:32,MCDONALD'S CORPORATION,US5801351017,Währungswechsel (Ausbuchung),,USD,"-301,22",USD,"0,00"
12-06-2017,15:32,MCDONALD'S CORPORATION,US5801351017,Währungswechsel (Einbuchung),"1,1215",EUR,"268,33",EUR,"-2537,54"
12-06-2017,15:32,MCDONALD'S CORPORATION,US5801351017,Transaktionsgebühr,,EUR,"-0,50",EUR,"-2805,87"
12-06-2017,15:32,MCDONALD'S CORPORATION,US5801351017,Transaktionsgebühr,,EUR,"-0,01",EUR,"-2805,37"
12-06-2017,15:32,MCDONALD'S CORPORATION,US5801351017,"Verkauf 2 zu je 150,61",,USD,"301,22",USD,"301,22"
12-06-2017,09:53,S&P 500 SL 2602.00  HB 9.80  FN 2677....,NL0011862875,Transaktionsgebühr,,EUR,"-4,00",EUR,"-2805,36"
12-06-2017,09:53,S&P 500 SL 2602.00  HB 9.80  FN 2677....,NL0011862875,Transaktionsgebühr,,EUR,"-0,03",EUR,"-2801,36"
12-06-2017,09:53,S&P 500 SL 2602.00  HB 9.80  FN 2677....,NL0011862875,"Kauf 35 zu je 2,28",,EUR,"-79,80",EUR,"-2801,33"
12-06-2017,09:46,WTI OIL SL 38.08  HB 5.52  FN 38.08  ...,NL0011491519,Transaktionsgebühr,,EUR,"-4,00",EUR,"-2721,53"
12-06-2017,09:46,WTI OIL SL 38.08  HB 5.52  FN 38.08  ...,NL0011491519,Transaktionsgebühr,,EUR,"-0,03",EUR,"-2717,53"
