Produkt,Isin,Anzahl
ADIDAS SL 186.2646  HB 9.49  FN...,DE000CY16FA6,40
ALSTRIA OFFICE REIT-AG,DE000A0LD2U1,10
AT + T INC. DL 1,US00206R1023,2
ATLANTIC GOLD,CA04854Q1019,25
BAYWA AG VINK.NA. O.N,DE0005194062,4
BEADELL RESOURCES LTD,AU000000BDR9,150
BYD CO. LTD H YC 1,CNE100000296,10
CAMECO CORP,CA13321L1085,28
CHINA MOBILE LTD,HK0941009539,19
DANAKALI LTD,AU000000DNK9,150
DAX SL 12231.38  HB 23.05  FN 1...,NL0012071286,29
DAX SL 13058.88  HB 36.53  FN 1...,NL0012071294,10
DB X-TR.II BA.G.AGG.BD 1D,LU0942970103,7
DEUTSCHE POST AG NA O.N,DE0005552004,5
DIAGEO,GB0002374006,6
ENDEAVOUR SILVER CORP,CA29258Y1034,165
GENERAL ELECTRIC,US3696041033,10
GLAXOSMITHKLINE,GB0009252882,5
GOLD FIELDS LTD RC-,ZAE000018123,25
GOLD SL 1303.00  HB 18.09  FN 1...,NL0011859624,20
GOLDEN STAR RES,CA38119T1049,200
HARMONY GOLD MNG RC,ZAE000015228,300
HSBC HLDGS PLC DL,GB0005405286,1
IAMGOLD CORP,CA4509131088,50
INTERNATIONAL LITHIUM,CA4598201065,1000
IS.E.G.B.C.1.5-10.5 U.ETF,DE000A0H0785,3
ISHR EUR HY COR,IE00B66F4759,3
K92 MINING INC,CA4991131083,450
KAPSCH TRAFFICCOM AG,AT000KAPSCH9,2
KINROSS GOLD CORP,CA4969024047,40
LYXOR MSCI E.M.U.ETF C-EO,FR0010429068,40
MCDONALD'S CORPORATION,US5801351017,2
MOBOTIX AG O.N,DE0005218309,4
NASDAQ 100 SL 6140.00  HB 10.05...,NL0012067235,8
NIKKEI 225 SL 21528.8753  HB 13...,DE000CW0J9Z3,12
NOVO-NORDISK NAM.B DK,DK0060534915,5
OMEGA HEALTHCARE INVES,US6819361006,5
PFIZER INC. DL-,US7170811035,3
RDSA DIVIDEND COUPON,RDSASCRIPDVD,10
ROYAL DUTCH SHELLA,GB00B03MLX29,10
S&P 500 SL 2602.00  HB 9.82  FN...,NL0011862875,45
SIEMENS SL 139.80  HB 5.66  FN ...,NL0011084538,10
SILVER SL 15.7350  HB 10.21  FN...,NL0011628110,175
SILVER SL 18.8321  HB 10.93  FN...,NL0011860275,20
SPDR EUR HY,IE00B6YX5M31,6
SPDR S+P EO DIV.ARIST.ETF,IE00B5M1WJ87,14
SUEDZUCKER AG O.N,DE0007297004,5
TELEFONICA DTLD HLDG AG,DE000A1J5RX9,20
UNILEVER DR,NL0000009355,2
VERIZON COMM. INC. DL-,US92343V1044,5
ZINC ONE RESOURC.INC,CA98959W1041,200
